Object_Name,first_score,last_score,iterations,result
011_banana.obj,332.3192184,332.3192184,1,SUCCESS
011_banana.obj,332.2208383,332.2208383,1,SUCCESS
011_banana.obj,332.1805872,332.1805872,1,SUCCESS
011_banana.obj,325.0865092,332.1531701,2,SUCCESS
011_banana.obj,332.099156,332.099156,1,SUCCESS
011_banana.obj,331.9271669,331.9271669,1,SUCCESS
011_banana.obj,331.7175535,331.796058,2,SUCCESS
011_banana.obj,331.7174338,331.7174338,1,SUCCESS
011_banana.obj,331.6179531,331.6179531,1,SUCCESS
011_banana.obj,325.2262216,331.5306058,2,SUCCESS
011_banana.obj,330.5357327,331.5257558,2,SUCCESS
011_banana.obj,328.4033558,331.4712813,2,SUCCESS
011_banana.obj,328.4326738,331.4390165,2,SUCCESS
011_banana.obj,327.9422685,331.2683791,2,SUCCESS
011_banana.obj,317.1134121,331.2337986,2,SUCCESS
011_banana.obj,320.7751888,330.9125018,3,SUCCESS
011_banana.obj,327.5641082,330.8419429,2,SUCCESS
011_banana.obj,328.8280625,330.7657465,2,SUCCESS
011_banana.obj,329.8206862,330.3181633,2,SUCCESS
011_banana.obj,330.1920694,330.1920694,1,SUCCESS
011_banana.obj,327.955461,330.1621407,2,SUCCESS
011_banana.obj,318.2026744,329.9946507,4,FAILURE
011_banana.obj,329.8083341,329.8783592,2,FAILURE
011_banana.obj,329.8359482,329.8359482,1,FAILURE
011_banana.obj,329.8097677,329.8097677,1,FAILURE
011_banana.obj,324.6073278,329.7381452,2,FAILURE
011_banana.obj,325.86887,329.5478396,2,FAILURE
011_banana.obj,315.6019943,329.4405203,2,FAILURE
011_banana.obj,329.3161129,329.3161129,1,FAILURE
011_banana.obj,329.1553403,329.1553403,1,FAILURE
011_banana.obj,324.1144699,328.8276241,2,FAILURE
011_banana.obj,328.1561881,328.7398319,2,FAILURE
011_banana.obj,326.8353196,328.6588877,2,FAILURE
011_banana.obj,326.8222889,328.319088,2,FAILURE
011_banana.obj,318.4280568,328.2252165,2,FAILURE
011_banana.obj,328.1823411,328.1823411,1,FAILURE
011_banana.obj,320.6461291,328.0742054,2,FAILURE
011_banana.obj,325.4936703,327.9872927,2,FAILURE
011_banana.obj,312.7263645,327.9608863,2,FAILURE
011_banana.obj,325.5362816,327.6633577,2,FAILURE
011_banana.obj,317.9336697,327.5392143,2,FAILURE
011_banana.obj,327.138442,327.138442,1,FAILURE
011_banana.obj,327.1212763,327.1212763,1,FAILURE
011_banana.obj,325.2179711,327.0042079,2,FAILURE
011_banana.obj,324.6482923,326.9572285,2,FAILURE
011_banana.obj,322.0051836,326.7279355,2,FAILURE
011_banana.obj,326.5870723,326.5870723,1,FAILURE
011_banana.obj,326.4896419,326.4896419,1,FAILURE
011_banana.obj,325.521336,325.8978041,2,FAILURE
011_banana.obj,325.7608013,325.7608013,1,FAILURE
011_banana.obj,325.5894069,325.5894069,1,FAILURE
011_banana.obj,320.9910914,325.5405517,2,FAILURE
011_banana.obj,325.1593385,325.3391861,2,FAILURE
011_banana.obj,325.3249585,325.3249585,1,FAILURE
011_banana.obj,309.6642449,325.0948571,2,FAILURE
011_banana.obj,318.2619714,325.0582429,2,FAILURE
011_banana.obj,323.5990431,324.9264603,2,FAILURE
011_banana.obj,324.8360716,324.8360716,1,FAILURE
011_banana.obj,324.8009881,324.8009881,1,FAILURE
011_banana.obj,321.6178175,324.6873774,2,FAILURE
011_banana.obj,321.1028042,324.5945128,2,FAILURE
011_banana.obj,322.0028107,324.5657571,2,FAILURE
011_banana.obj,320.811203,324.4596863,2,FAILURE
011_banana.obj,308.2460564,324.1761373,3,FAILURE
011_banana.obj,302.1110781,324.0356483,3,FAILURE
011_banana.obj,322.2834344,323.898202,2,FAILURE
011_banana.obj,312.7788831,323.8066242,3,FAILURE
011_banana.obj,321.4155252,323.5785545,2,FAILURE
011_banana.obj,308.3911648,323.3852088,4,FAILURE
011_banana.obj,318.2412971,323.1628638,2,FAILURE
011_banana.obj,323.0970165,323.0970165,1,FAILURE
011_banana.obj,314.2766351,322.8869488,2,FAILURE
011_banana.obj,317.8544447,322.5869383,2,FAILURE
011_banana.obj,308.3710728,322.5308416,2,FAILURE
011_banana.obj,319.8455309,322.5083421,2,FAILURE
011_banana.obj,319.0497998,322.2464174,2,FAILURE
011_banana.obj,305.8343016,322.0511848,2,FAILURE
011_banana.obj,321.3029575,322.0226214,2,FAILURE
011_banana.obj,304.3763877,321.9627434,3,FAILURE
011_banana.obj,321.8425078,321.8425078,1,FAILURE
011_banana.obj,290.3466046,321.7586002,3,FAILURE
011_banana.obj,321.4630308,321.4630308,2,FAILURE
011_banana.obj,306.590256,321.4210924,3,FAILURE
011_banana.obj,318.0916774,321.2769369,2,FAILURE
011_banana.obj,320.3800689,321.1508029,2,FAILURE
011_banana.obj,314.6266095,320.8397257,2,FAILURE
011_banana.obj,320.8036557,320.8036557,1,FAILURE
011_banana.obj,311.5009039,320.7153519,2,FAILURE
011_banana.obj,316.7582964,320.7090361,2,FAILURE
011_banana.obj,315.7462344,320.5555172,2,FAILURE
011_banana.obj,320.3788596,320.3788596,2,FAILURE
011_banana.obj,317.7785525,320.3421446,2,FAILURE
011_banana.obj,320.2824103,320.2824103,1,FAILURE
011_banana.obj,320.1042018,320.256371,2,FAILURE
011_banana.obj,320.1424942,320.1424942,1,FAILURE
011_banana.obj,306.0672077,319.8665861,2,FAILURE
011_banana.obj,310.7636254,319.7784987,2,FAILURE
011_banana.obj,293.6949747,319.7667147,3,FAILURE
011_banana.obj,314.9999704,319.554313,2,FAILURE
011_banana.obj,319.5412643,319.5412643,1,FAILURE
011_banana.obj,315.3676739,319.5035295,2,FAILURE
011_banana.obj,316.7893624,319.4244298,2,FAILURE
011_banana.obj,319.1966545,319.1966545,1,FAILURE
011_banana.obj,319.1365308,319.1712124,2,FAILURE
011_banana.obj,314.3446574,318.9871339,2,FAILURE
011_banana.obj,318.8668634,318.8668634,1,FAILURE
011_banana.obj,318.5263135,318.8642442,2,FAILURE
011_banana.obj,315.6672342,318.8109252,2,FAILURE
011_banana.obj,312.5231486,318.7756849,2,FAILURE
011_banana.obj,315.7064403,318.7472785,2,FAILURE
011_banana.obj,318.5962761,318.7184416,2,FAILURE
011_banana.obj,318.5062607,318.5397121,2,FAILURE
011_banana.obj,317.7349275,318.3852372,2,FAILURE
011_banana.obj,310.5934081,318.2894417,2,FAILURE
011_banana.obj,317.4910717,318.2474723,2,FAILURE
011_banana.obj,318.0731601,318.0731601,1,FAILURE
011_banana.obj,316.9151229,317.8444561,2,FAILURE
011_banana.obj,317.598627,317.598627,1,FAILURE
011_banana.obj,317.5984112,317.5984112,1,FAILURE
011_banana.obj,312.4170855,317.4619796,2,FAILURE
011_banana.obj,314.1325539,317.430833,2,FAILURE
011_banana.obj,315.9095787,317.4032683,2,FAILURE
011_banana.obj,314.8766973,317.3938654,2,FAILURE
011_banana.obj,311.2140184,317.3701146,2,FAILURE
011_banana.obj,316.1366674,317.3064591,2,FAILURE
011_banana.obj,303.4510863,317.2916008,2,FAILURE
011_banana.obj,306.9039941,317.1939152,2,FAILURE
011_banana.obj,313.7410333,316.9262225,2,FAILURE
011_banana.obj,304.9347907,316.6695119,2,FAILURE
011_banana.obj,314.3568977,316.5639352,2,FAILURE
011_banana.obj,309.5310184,316.5291844,2,FAILURE
011_banana.obj,316.5047124,316.5047124,1,FAILURE
011_banana.obj,315.482278,316.360329,2,FAILURE
011_banana.obj,313.9382542,316.2810373,2,FAILURE
011_banana.obj,316.2547015,316.2547015,1,FAILURE
011_banana.obj,315.5827801,316.1255651,2,FAILURE
011_banana.obj,287.2910828,315.9488155,4,FAILURE
011_banana.obj,315.5553888,315.8627682,2,FAILURE
011_banana.obj,315.8128669,315.8128669,1,FAILURE
011_banana.obj,309.0262173,315.6062652,2,FAILURE
011_banana.obj,306.2092149,315.2609652,2,FAILURE
011_banana.obj,312.4106013,315.0814709,2,FAILURE
011_banana.obj,311.4897462,315.0536228,2,FAILURE
011_banana.obj,315.0483216,315.0483216,1,FAILURE
011_banana.obj,314.7215584,315.0160511,2,FAILURE
011_banana.obj,314.9678449,314.9678449,1,FAILURE
011_banana.obj,314.9554792,314.9554792,1,FAILURE
011_banana.obj,312.371292,314.8547176,2,FAILURE
