Object_Name,first_score,last_score,iterations,result
057_racquetball.obj,[347.11773786],[347.11773786],1,SUCCESS
057_racquetball.obj,[317.42703816],[317.68803878],2,FAILURE
057_racquetball.obj,[252.31150207],[252.31150207],1,FAILURE
057_racquetball.obj,[305.11478321],[305.12737247],2,FAILURE
057_racquetball.obj,[198.168616],[198.168616],1,FAILURE
057_racquetball.obj,[281.50628475],[281.52898011],2,FAILURE
057_racquetball.obj,[280.84053946],[280.84053946],1,FAILURE
057_racquetball.obj,[261.19467164],[261.19467164],1,FAILURE
057_racquetball.obj,[242.99368878],[242.99368878],1,FAILURE
057_racquetball.obj,[276.22346726],[276.2973571],2,FAILURE
057_racquetball.obj,[318.21375776],[318.21375776],1,FAILURE
057_racquetball.obj,[297.5778567],[297.58653565],2,FAILURE
057_racquetball.obj,[271.69785182],[272.16842956],2,FAILURE
057_racquetball.obj,[264.57719389],[264.92037585],2,FAILURE
057_racquetball.obj,[310.59351428],[310.62396393],2,FAILURE
057_racquetball.obj,[346.91174069],[346.91174069],1,SUCCESS
057_racquetball.obj,[291.41103764],[291.46180607],2,FAILURE
057_racquetball.obj,[257.78532647],[257.78532647],1,FAILURE
057_racquetball.obj,[293.42448803],[293.42448803],1,FAILURE
057_racquetball.obj,[312.75376426],[312.75376426],1,FAILURE
057_racquetball.obj,[217.4469408],[217.4469408],1,FAILURE
057_racquetball.obj,[337.80387506],[337.80387506],1,SUCCESS
057_racquetball.obj,[335.26753001],[335.26753001],1,SUCCESS
057_racquetball.obj,[252.14617988],[252.20725286],2,FAILURE
057_racquetball.obj,[259.6961623],[260.02380553],2,FAILURE
057_racquetball.obj,[248.07779672],[248.07779672],1,FAILURE
057_racquetball.obj,[312.4186798],[312.4186798],1,FAILURE
057_racquetball.obj,[336.76670724],[336.76670724],1,SUCCESS
057_racquetball.obj,[240.19237464],[240.19237464],1,FAILURE
057_racquetball.obj,[262.27438629],[262.33473991],2,FAILURE
057_racquetball.obj,[258.82237674],[258.82237674],1,FAILURE
057_racquetball.obj,[221.59171797],[221.59171797],1,FAILURE
057_racquetball.obj,[295.52684256],[295.53430218],2,FAILURE
057_racquetball.obj,[282.47887728],[282.50897787],2,FAILURE
057_racquetball.obj,[287.98731205],[287.99256628],2,FAILURE
057_racquetball.obj,[240.40731665],[240.40807093],2,FAILURE
057_racquetball.obj,[291.47384949],[291.47384949],1,FAILURE
057_racquetball.obj,[305.72513762],[305.72513762],1,FAILURE
057_racquetball.obj,[330.89104888],[330.89104888],1,SUCCESS
057_racquetball.obj,[190.51993682],[191.0338218],2,FAILURE
057_racquetball.obj,[323.61860985],[323.77026531],2,FAILURE
057_racquetball.obj,[321.84843055],[321.87443968],2,FAILURE
057_racquetball.obj,[291.79125829],[291.79125829],1,FAILURE
057_racquetball.obj,[325.3162331],[325.35601436],2,FAILURE
057_racquetball.obj,[261.34933113],[261.35521803],2,FAILURE
057_racquetball.obj,[239.6272863],[239.64782975],2,FAILURE
057_racquetball.obj,[247.09508966],[247.14156612],2,FAILURE
057_racquetball.obj,[232.50645117],[233.03967673],2,FAILURE
057_racquetball.obj,[269.2561985],[269.2561985],1,FAILURE
057_racquetball.obj,[276.7720012],[276.7720012],1,FAILURE
057_racquetball.obj,[269.40177582],[269.40177582],1,FAILURE
057_racquetball.obj,[218.35180365],[218.35180365],1,FAILURE
057_racquetball.obj,[262.56265646],[262.56265646],1,FAILURE
057_racquetball.obj,[268.70392602],[268.70392602],1,FAILURE
057_racquetball.obj,[244.34178834],[244.34178834],1,FAILURE
057_racquetball.obj,[204.38702469],[204.42062659],2,FAILURE
057_racquetball.obj,[318.99951718],[319.0605186],2,FAILURE
057_racquetball.obj,[303.08431214],[303.08431214],1,FAILURE
057_racquetball.obj,[344.29439585],[344.29439585],1,SUCCESS
057_racquetball.obj,[204.48806556],[204.48806556],1,FAILURE
057_racquetball.obj,[264.52875821],[264.96374282],2,FAILURE
057_racquetball.obj,[331.60546546],[331.60546546],1,SUCCESS
057_racquetball.obj,[293.55192066],[293.58474294],2,FAILURE
057_racquetball.obj,[253.8083242],[253.88618451],2,FAILURE
057_racquetball.obj,[274.90204301],[274.91239268],2,FAILURE
057_racquetball.obj,[318.98450646],[318.98539163],2,FAILURE
057_racquetball.obj,[314.1427806],[314.15339712],2,FAILURE
057_racquetball.obj,[292.3873238],[292.85985262],2,FAILURE
057_racquetball.obj,[240.97708327],[240.97708327],1,FAILURE
057_racquetball.obj,[275.14980201],[275.14980201],1,FAILURE
057_racquetball.obj,[244.12732832],[244.1412545],2,FAILURE
057_racquetball.obj,[232.85157335],[232.85157335],1,FAILURE
057_racquetball.obj,[234.47604941],[234.47604941],1,FAILURE
057_racquetball.obj,[239.17739199],[239.19715868],2,FAILURE
057_racquetball.obj,[255.44785446],[255.78864748],2,FAILURE
057_racquetball.obj,[301.14842704],[301.15327045],2,FAILURE
057_racquetball.obj,[353.65404064],[353.65404064],1,SUCCESS
